Team,Season,Matches,Wins,Draws,Losses,GoalsFor,GoalsAgainst,Points,WinRate,PointsPerGame,GoalDifference,AvgAttendance,TotalAttendance,MatchesWithAttendance,AvgxG,AvgxGA,AvgPossession,AvgGoalsFor,AvgGoalsAgainst,TotalGoals,TotalAssists,TotalxG,TotalxAG,PlayerCount,AvgAge
Real Sociedad,2020-21,38,17,11,10,59,38,62,0.4473684210526316,1.631578947368421,21,29673.88888888889,10415535.0,351.0,1.3259423503325942,1.0580931263858093,54.89578713968958,1.2838137472283815,1.0598669623059866,12.0,9.0,18.3,14.4,235.0,24.974468085106384
Real Sociedad,2021-22,38,17,11,10,40,37,62,0.4473684210526316,1.631578947368421,3,29673.88888888889,10415535.0,351.0,1.3259423503325942,1.0580931263858093,54.89578713968958,1.2838137472283815,1.0598669623059866,12.0,9.0,18.3,14.4,235.0,24.974468085106384
Real Sociedad,2022-23,38,21,8,9,51,35,71,0.5526315789473685,1.868421052631579,16,29673.88888888889,10415535.0,351.0,1.3259423503325942,1.0580931263858093,54.89578713968958,1.2838137472283815,1.0598669623059866,12.0,9.0,18.3,14.4,235.0,24.974468085106384
Real Sociedad,2023-24,38,16,12,10,51,39,60,0.42105263157894735,1.5789473684210527,12,29673.88888888889,10415535.0,351.0,1.3259423503325942,1.0580931263858093,54.89578713968958,1.2838137472283815,1.0598669623059866,12.0,9.0,18.3,14.4,235.0,24.974468085106384
Real Sociedad,2024-25,38,13,7,18,35,46,46,0.34210526315789475,1.2105263157894737,-11,29673.88888888889,10415535.0,351.0,1.3259423503325942,1.0580931263858093,54.89578713968958,1.2838137472283815,1.0598669623059866,12.0,9.0,18.3,14.4,235.0,24.974468085106384
Real Sociedad,2025-26,10,2,3,5,10,14,9,0.2,0.9,-4,29673.88888888889,10415535.0,351.0,1.3259423503325942,1.0580931263858093,54.89578713968958,1.2838137472283815,1.0598669623059866,12.0,9.0,18.3,14.4,235.0,24.974468085106384
Eibar,2019-20,38,11,9,18,39,56,42,0.2894736842105263,1.105263157894737,-17,17556.703703703704,948062.0,54.0,1.1473684210526316,1.2934210526315788,47.81578947368421,0.8947368421052632,1.4210526315789473,,,,,,
Eibar,2020-21,38,6,12,20,29,52,30,0.15789473684210525,0.7894736842105263,-23,17556.703703703704,948062.0,54.0,1.1473684210526316,1.2934210526315788,47.81578947368421,0.8947368421052632,1.4210526315789473,,,,,,
Valladolid,2019-20,38,9,15,14,32,43,42,0.23684210526315788,1.105263157894737,-11,24571.09793814433,4766793.0,194.0,0.9849315068493152,1.56986301369863,45.47945205479452,0.8253424657534246,1.63013698630137,9.0,6.0,11.4,7.4,222.0,25.41891891891892
Valladolid,2020-21,38,5,16,17,34,57,31,0.13157894736842105,0.8157894736842105,-23,24571.09793814433,4766793.0,194.0,0.9849315068493152,1.56986301369863,45.47945205479452,0.8253424657534246,1.63013698630137,9.0,6.0,11.4,7.4,222.0,25.41891891891892
Valladolid,2022-23,38,11,7,20,33,63,40,0.2894736842105263,1.0526315789473684,-30,24571.09793814433,4766793.0,194.0,0.9849315068493152,1.56986301369863,45.47945205479452,0.8253424657534246,1.63013698630137,9.0,6.0,11.4,7.4,222.0,25.41891891891892
Valladolid,2024-25,38,4,4,30,26,90,16,0.10526315789473684,0.42105263157894735,-64,24571.09793814433,4766793.0,194.0,0.9849315068493152,1.56986301369863,45.47945205479452,0.8253424657534246,1.63013698630137,9.0,6.0,11.4,7.4,222.0,25.41891891891892
Cádiz,2020-21,38,11,11,16,36,58,44,0.2894736842105263,1.1578947368421053,-22,21640.508771929824,4934036.0,228.0,0.9953947368421053,1.430263157894737,40.33552631578947,0.8355263157894737,1.4276315789473684,,,,,,
Cádiz,2021-22,38,8,15,15,35,51,39,0.21052631578947367,1.0263157894736843,-16,21640.508771929824,4934036.0,228.0,0.9953947368421053,1.430263157894737,40.33552631578947,0.8355263157894737,1.4276315789473684,,,,,,
Cádiz,2022-23,38,10,12,16,30,53,42,0.2631578947368421,1.105263157894737,-23,21640.508771929824,4934036.0,228.0,0.9953947368421053,1.430263157894737,40.33552631578947,0.8355263157894737,1.4276315789473684,,,,,,
Cádiz,2023-24,38,6,15,17,26,55,33,0.15789473684210525,0.868421052631579,-29,21640.508771929824,4934036.0,228.0,0.9953947368421053,1.430263157894737,40.33552631578947,0.8355263157894737,1.4276315789473684,,,,,,
Huesca,2020-21,38,7,13,18,34,53,34,0.18421052631578946,0.8947368421052632,-19,,0.0,0.0,1.0157894736842106,1.269736842105263,48.3421052631579,0.8947368421052632,1.394736842105263,,,,,,
Elche,2020-21,38,8,12,18,34,55,36,0.21052631578947367,0.9473684210526315,-21,21483.54658385093,3458851.0,161.0,0.8991489361702129,1.6514893617021278,47.45106382978724,0.9276595744680851,1.5063829787234042,,,,,,
Elche,2021-22,38,11,9,18,40,52,42,0.2894736842105263,1.105263157894737,-12,21483.54658385093,3458851.0,161.0,0.8991489361702129,1.6514893617021278,47.45106382978724,0.9276595744680851,1.5063829787234042,,,,,,
Elche,2022-23,38,5,10,23,30,67,25,0.13157894736842105,0.6578947368421053,-37,21483.54658385093,3458851.0,161.0,0.8991489361702129,1.6514893617021278,47.45106382978724,0.9276595744680851,1.5063829787234042,,,,,,
Elche,2025-26,10,3,5,2,11,10,14,0.3,1.4,1,21483.54658385093,3458851.0,161.0,0.8991489361702129,1.6514893617021278,47.45106382978724,0.9276595744680851,1.5063829787234042,,,,,,
Rayo Vallecano,2021-22,38,11,9,18,39,50,42,0.2894736842105263,1.105263157894737,-11,19187.434782608696,5737043.0,299.0,1.160535117056856,1.2585284280936455,50.491638795986624,1.0100334448160535,1.2842809364548495,10.0,8.0,13.700000000000001,10.5,208.0,28.95673076923077
Rayo Vallecano,2022-23,38,13,10,15,45,53,49,0.34210526315789475,1.2894736842105263,-8,19187.434782608696,5737043.0,299.0,1.160535117056856,1.2585284280936455,50.491638795986624,1.0100334448160535,1.2842809364548495,10.0,8.0,13.700000000000001,10.5,208.0,28.95673076923077
Rayo Vallecano,2023-24,38,8,14,16,29,48,38,0.21052631578947367,1.0,-19,19187.434782608696,5737043.0,299.0,1.160535117056856,1.2585284280936455,50.491638795986624,1.0100334448160535,1.2842809364548495,10.0,8.0,13.700000000000001,10.5,208.0,28.95673076923077
Rayo Vallecano,2024-25,38,13,13,12,41,45,52,0.34210526315789475,1.368421052631579,-4,19187.434782608696,5737043.0,299.0,1.160535117056856,1.2585284280936455,50.491638795986624,1.0100334448160535,1.2842809364548495,10.0,8.0,13.700000000000001,10.5,208.0,28.95673076923077
Rayo Vallecano,2025-26,10,4,2,4,12,10,14,0.4,1.4,2,19187.434782608696,5737043.0,299.0,1.160535117056856,1.2585284280936455,50.491638795986624,1.0100334448160535,1.2842809364548495,10.0,8.0,13.700000000000001,10.5,208.0,28.95673076923077
Almeria,2022-23,38,11,8,19,49,65,41,0.2894736842105263,1.0789473684210527,-16,21140.276315789473,3213322.0,152.0,1.236842105263158,1.6394736842105262,45.73684210526316,1.2105263157894737,1.8421052631578947,,,,,,
Almeria,2023-24,38,3,12,23,43,75,21,0.07894736842105263,0.5526315789473685,-32,21140.276315789473,3213322.0,152.0,1.236842105263158,1.6394736842105262,45.73684210526316,1.2105263157894737,1.8421052631578947,,,,,,
Girona,2022-23,38,13,10,15,58,55,49,0.34210526315789475,1.2894736842105263,3,20957.363228699553,4673492.0,223.0,1.4408071748878923,1.4237668161434978,54.56502242152467,1.6457399103139014,1.4215246636771302,21.0,15.0,19.5,13.9,229.0,26.733624454148472
Girona,2023-24,38,25,6,7,85,46,81,0.6578947368421053,2.1315789473684212,39,20957.363228699553,4673492.0,223.0,1.4408071748878923,1.4237668161434978,54.56502242152467,1.6457399103139014,1.4215246636771302,21.0,15.0,19.5,13.9,229.0,26.733624454148472
Girona,2024-25,38,11,8,19,44,60,41,0.2894736842105263,1.0789473684210527,-16,20957.363228699553,4673492.0,223.0,1.4408071748878923,1.4237668161434978,54.56502242152467,1.6457399103139014,1.4215246636771302,21.0,15.0,19.5,13.9,229.0,26.733624454148472
Girona,2025-26,10,1,4,5,9,22,7,0.1,0.7,-13,20957.363228699553,4673492.0,223.0,1.4408071748878923,1.4237668161434978,54.56502242152467,1.6457399103139014,1.4215246636771302,21.0,15.0,19.5,13.9,229.0,26.733624454148472
Las Palmas,2023-24,38,10,10,18,33,47,40,0.2631578947368421,1.0526315789473684,-14,26562.77142857143,3718788.0,140.0,0.9071428571428571,1.6264285714285713,55.31428571428572,0.9714285714285714,1.4214285714285715,18.0,14.0,13.9,10.4,243.0,27.40740740740741
Las Palmas,2024-25,38,8,8,22,40,61,32,0.21052631578947367,0.8421052631578947,-21,26562.77142857143,3718788.0,140.0,0.9071428571428571,1.6264285714285713,55.31428571428572,0.9714285714285714,1.4214285714285715,18.0,14.0,13.9,10.4,243.0,27.40740740740741
Oviedo,2025-26,10,2,1,7,7,19,7,0.2,0.7,-12,23253.5,139521.0,6.0,0.7285714285714285,1.6857142857142857,38.42857142857143,0.5714285714285714,1.7142857142857142,,,,,,
