Team,AvgxG,AvgxGA,AvgGoals,AvgGoalsAgainst,xGDifference,xGMatches
Barcelona,1.9583148558758317,1.0082039911308203,2.1507760532150777,0.9423503325942351,0.9501108647450114,451
Atletico Madrid,1.545232815964523,0.9529933481152993,1.7095343680709534,0.8802660753880266,0.5922394678492237,451
Real Madrid,1.8456762749445677,1.0115299334811532,2.011086474501109,0.8048780487804879,0.8341463414634145,451
Athletic Club,1.2955654101995564,1.0496674057649669,1.288248337028825,1.0022172949002217,0.24589800443458953,451
Villarreal,1.6088888888888888,1.2542222222222221,1.6711111111111112,1.2466666666666666,0.3546666666666667,450
Real Betis,1.329268292682927,1.2862527716186254,1.352549889135255,1.246119733924612,0.04301552106430151,451
Rayo Vallecano,1.160535117056856,1.2585284280936455,1.0100334448160535,1.2842809364548495,-0.09799331103678943,299
Mallorca,1.0304,1.3128,0.9546666666666667,1.3786666666666667,-0.2824,375
Real Sociedad,1.3259423503325942,1.0580931263858093,1.2838137472283815,1.0598669623059866,0.2678492239467849,451
Celta Vigo,1.22039911308204,1.2518847006651883,1.221729490022173,1.3835920177383592,-0.031485587583148344,451
Osasuna,1.086031042128603,1.2776053215077607,1.0842572062084257,1.3259423503325942,-0.19157427937915772,451
Sevilla,1.2401330376940132,1.175831485587583,1.3170731707317074,1.1330376940133038,0.06430155210643007,451
Girona,1.4408071748878921,1.4237668161434978,1.6457399103139014,1.4215246636771302,0.017040358744394357,223
Getafe,0.9767184035476718,1.160532150776053,0.9379157427937915,1.1286031042128604,-0.18381374722838129,451
Espanyol,1.0526845637583895,1.4332214765100673,1.0469798657718121,1.5302013422818792,-0.3805369127516778,298
Leganés,0.9807142857142858,1.3342857142857143,0.8714285714285714,1.4,-0.35357142857142854,140
Las Palmas,0.9071428571428571,1.6264285714285713,0.9714285714285714,1.4214285714285715,-0.7192857142857142,140
Valencia,1.1419068736141906,1.3197339246119735,1.1818181818181819,1.3481152993348116,-0.17782705099778284,451
Alavés,1.088,1.34,0.9253333333333333,1.464,-0.252,375
Valladolid,0.9849315068493152,1.56986301369863,0.8253424657534246,1.63013698630137,-0.5849315068493148,292
Cádiz,0.9953947368421051,1.4302631578947367,0.8355263157894737,1.4276315789473684,-0.43486842105263157,304
Almeria,1.236842105263158,1.6394736842105262,1.2105263157894737,1.8421052631578947,-0.40263157894736823,152
Granada,1.1032894736842105,1.4769736842105263,1.1907894736842106,1.644736842105263,-0.37368421052631584,304
Elche,0.8991489361702129,1.6514893617021278,0.9276595744680851,1.5063829787234042,-0.7523404255319149,235
Levante,1.2659574468085104,1.5021276595744681,1.2723404255319148,1.6425531914893616,-0.23617021276595773,235
Huesca,1.0157894736842106,1.269736842105263,0.8947368421052632,1.394736842105263,-0.2539473684210525,76
Eibar,1.1473684210526316,1.2934210526315788,0.8947368421052632,1.4210526315789473,-0.1460526315789472,152
Oviedo,0.7285714285714285,1.6857142857142857,0.5714285714285714,1.7142857142857142,-0.9571428571428572,7
